P00352,O60356
P55081,Q96CW1
Q92545,Q8TDD5
P53350,Q9UKN8
Q96A65,Q96NL6
O95994,P49411
Q13573,Q12874
P26367,Q5JVL4
Q13618,O43819
P04629,P43487
Q96RE7,Q9P0K8
O60508,Q15393
Q8NI17,Q86SG7
P62140,P07355
P38606,Q9BUL8
Q15669,Q13613
O14975,P14314
Q96BI3,A2RU14
Q9UL25,Q9HBW0
Q9NQE9,P49773
P78424,P53539
P62807,O75528
Q04917,P98177
Q96RD7,Q9HC62
O43791,Q14694
P22087,O00410
Q15286,Q14160
P05161,P35606
Q13263,Q8WYA6
P14136,Q9BT92
P42574,Q07812
P11182,O75380
Q9Y639,Q9Y6D5
P50750,P62136
Q49A88,Q9Y6R9
Q5JTH9,Q8WXX5
Q3V6T2,Q9NQC1
O00444,Q6UVJ0
Q9Y6A1,Q6UXU6
Q6P2Q9,O94925
O95125,Q9BSU3
Q96CF2,P67936
Q14258,Q9Y2W1
Q6ZMI0,O43464
Q05193,Q9BY11
Q96GX1,Q9BV81
P40855,Q99608
Q07065,Q9NRC1
P30086,Q8TD16
Q7Z7G1,Q15435
P55081,O75478
P60484,P07195
Q14008,Q96QK1
P21854,Q96HJ5
P62745,Q9H307
P62879,Q13283
P35908,O95714
P46100,P54259
Q92748,Q14168
Q96EB6,O14641
Q15560,Q8IZR5
P27695,Q76FK4
Q7Z4Q2,Q9ULW2
P42773,P54819
Q96KN3,P49419
P11177,Q86VP6
O94761,Q08170
Q99943,Q9P2W7
Q99558,P25398
Q9H0W5,Q9NYU2
Q96HY6,Q9Y3U8
Q9BVG8,Q9NW38
P05109,P05164
P36578,Q9C026
Q9HCF6,O75596
Q9H4M7,Q14978
Q14258,O95864
Q9BRG2,O43240
Q9UNP9,P05455
Q9NZB8,P10746
Q9H8V3,Q9NY93
Q16881,P34897
Q7Z2W4,Q15646
P27797,Q96LL9
Q15717,Q9HA38
P08670,Q9C019
Q9NRI5,Q8NHQ1
Q15669,Q86Y07
P17081,Q9ULE6
Q99435,Q8N2S1
Q99623,Q9NPL8
P23458,O00398
Q9ULR0,Q86YD7
Q9HCN8,O95479
P16403,Q13620
Q5XPI4,O15455
P06241,P54252
P56945,P62136
P62487,P60002
Q9BYD1,Q99807
Q9UBF6,P55210
P08621,P49406
Q16659,P04637
Q92973,Q96IQ7
Q15084,Q9NPJ6
P84022,Q9NZC7
Q07020,P62424
P24821,O00206
Q03252,Q9NX55
P07948,Q9NV66
P27348,P04629
P62081,Q9BVP2
Q16850,O95881
P35579,Q9BX84
O00212,P61224
P04629,Q9UHD8
P15498,O75955
Q13163,P06733
Q02878,P08865
Q14596,P13797
Q9Y4E8,Q9P0W2
P20339,Q9Y4E6
Q6PCB8,Q8IYX4
P23771,Q92925
O15218,Q9H2V7
P11912,P14317
Q9H4M7,Q9Y2Z9
P62330,Q8TCJ2
P16403,Q14103
Q8NEU8,P78560
Q96S52,Q8IY33
Q9BUF5,O95714
P00374,Q9NUQ8
O43683,Q9BZD4
Q9H211,P33552
Q5S007,Q9NVJ2
O43169,Q9BPX3
Q92974,Q8NHV4
P16070,Q14254
O60381,Q92615
Q9H2K0,O95674
Q96E22,P0CG38
Q8IVT5,Q9NY12
Q92731,O15294
Q86VP1,O00764
Q86SJ6,Q8TDX6
O15205,Q96T68
Q9NZN4,Q8IWY8
Q00888,P11464
Q9NZQ3,Q5T3J3
Q9BY11,Q9HBA0
P78371,Q8TDG2
Q15717,Q8IUI8
P07900,P56192
Q6PJG9,P50895
Q9GZP1,Q8N6M3
Q8TBB1,Q13190
Q86V81,Q9BZI7
P29034,Q9Y216
P20340,P01303
Q9HBM0,Q9NTJ5
Q2HXU8,Q01814
P06401,Q13029
Q16637,Q14676
Q9UHD9,O43684
P41002,Q08554
Q03014,Q9BQ66
Q14146,Q96A44
P02794,Q8IY95
Q96RD7,P30926
P24385,Q14204
P19784,P07498
P08779,P02647
P22612,Q8N2H9
Q9BY14,O00194
P13612,P78371
Q9UJM3,P31785
Q1X8D7,O60907
P68104,O14764
P29317,Q86X19
P35637,P19367
Q9H9D4,Q14767
O60243,Q9Y2A9
Q8NEY8,P49760
O95503,Q8IUE6
Q15022,O75477
O95235,P83111
Q93084,Q9H313
Q8IXB1,P27487
Q13114,O75928
P27348,Q14978
Q8IVT5,Q15435
Q5S007,O15027
P49716,Q15744
Q8TD17,Q9ULD5
P46776,P46783
P05783,Q9BT25
Q8TCT0,O15213
Q1KMD3,Q8TAD8
Q9UBV4,O96014
Q8TAT6,Q9NQG5
Q8NFZ5,Q9NPI6
Q96BY9,Q8WVV4
P04083,Q13283
P04049,O60762
P24593,Q96P31
Q9NRI5,Q8TCD5
Q04206,Q99626
Q9P2N5,O60930
Q4VCS5,Q13625
P35606,Q9BVK6
Q9BQ66,Q5TA76
Q96SQ9,O60896
P60953,P49069
P51957,A6NIR3
Q9NRI5,Q8IYX8
Q9UKB1,P30203
O00322,P51957
P12644,O95156
P68032,Q8WUZ0
O14980,P68400
Q12972,P22735
O14920,P04637
Q9Y230,Q8IW40
Q9BYR3,Q5T5A8
P45984,P25942
P08473,P23582
Q14938,P48436
Q96SB4,Q9Y664
Q13263,P62191
O75368,Q8NF99
Q14457,P05783
O14967,Q06136
Q8N3G9,Q04656
Q14254,P05141
P23511,O75461
P04629,Q5JTH9
P20591,P48995
Q15831,Q9BQS8
P51884,P16112
P56181,P51589
P18206,Q96CV9
Q12906,P27105
P16403,Q8TB96
O75530,P51149
P14373,Q14005
P04626,Q9Y237
P40424,O60663
O00165,Q9H6Z9
Q8TBB1,Q7Z7H5
P32242,P60412
O43663,Q9Y5B9
O75147,Q8WUY3
Q02878,Q13616
Q9ULW3,Q96GQ7
Q9UJZ1,Q07021
Q5TC82,Q9NX58
P62750,P40429
P17252,O00139
Q9Y597,Q9NYF3
Q9UNX3,Q9UHB9
P07900,Q9H6S0
Q92633,Q9HD45
Q13155,P02675
Q96EK4,Q5DID0
P62330,Q8TF44
P06748,Q9H116
Q12800,Q9BZS1
Q01860,Q9BSM1
Q9UNF1,Q5J8M3
Q05952,P60370
P63167,P32246
Q15056,Q9H9J2
Q8WVZ9,O75386
P12931,Q8IYP9
Q4LE39,Q9UJV9
P01106,Q9Y5U2
P60953,Q02779
P27348,Q12800
P48729,P31153
O15350,Q9Y294
O75570,Q8N442
Q9NYJ8,P42677
Q14982,O43615
Q9P0M9,O43149
O15155,Q96SI9
Q15293,Q02750
Q9Y676,Q9UGC7
Q9H0R8,Q15366
Q8IXI2,P09958
Q9NRS4,O94822
Q07955,Q8IYB3
P10147,O94813
O75643,P61326
O14787,Q9ULX7
Q5SWW7,O95947
P14923,Q96S59
Q13131,P62244
Q13217,Q9NYU2
Q8N8S7,Q9BT78
Q9UII4,Q969P5
P82933,Q16629
Q9UHD9,P12268
Q9Y5Q9,Q6P1L5
O95714,Q96BR6
Q9Y3Q8,O75800
Q16650,P50219
Q07020,P62244
P57055,Q0VD86
Q96CV9,Q9UHD2
P26641,Q13501
O43909,P28222
Q96A25,P09958
Q02083,Q63ZY3
Q9UER7,Q8ND90
P18031,P55735
Q9HBD1,Q14444
Q9NW13,Q02575
Q8WUN7,P02814
O60504,Q9BST9
P10147,P51677
P07737,O95197
Q9NPF4,Q9UIA0
Q6UXB1,P58215
Q6VN20,O75081
P67936,O00743
P02763,P25311
Q96AE4,Q8NDC0
P05412,P53567
Q8TEJ3,Q9ULR3
Q9ULA0,Q9UM07
O95983,P51460
P08238,P22692
O95831,Q13061
P56180,Q8TEX9
Q96TA2,Q8NE63
O75400,O75554
A0PK00,Q8N5M9
P37840,Q9H0Y0
P01106,P53007
Q96FJ2,Q99996
Q93084,Q7Z2K6
Q9BYG5,Q5T2N8
Q13432,Q8N9N7
O00400,Q15370
Q9GZS1,Q96FI4
Q14103,Q9NYM9
O94826,Q9H300
Q05209,Q99717
P51531,Q8TAQ2
Q96A25,Q9UH99
P53367,P20339
Q92973,Q9Y639
Q14974,P57740
Q6UB99,O94972
Q9HCE7,Q9P2X3
Q99558,Q8TDD1
Q8TAT6,Q14203
P49116,Q14938
Q13310,Q86V81
O75695,Q5T2D3
P60033,P61026
P98153,Q9H0M0
Q14847,Q96C00
Q8NCF5,Q569K6
P62258,O43900
P40259,O95258
O15075,P05067
Q9UI36,Q9Y4X5
P60468,Q6ZWT7
P41002,Q9Y285
O60356,Q9P258
Q6P158,P60410
P04626,Q16671
Q9H4M7,P52747
P63172,Q9H2F9
Q15029,O76094
Q8N2W9,P09017
Q5T011,Q9Y664
Q09161,Q13769
P09429,Q8IX12
P27482,P48539
P62258,Q9Y2K2
P09467,P30041
P20020,Q9H2F3
P05161,P46776
Q92793,Q9UBB5
P62805,O00267
Q13490,P25942
Q9UK08,P02763
P49736,P62851
O43493,Q8NFA0
P60709,P61081
P17844,O43390
O00743,Q8NB46
O15350,P54278
P07437,Q9UL54
Q9UHD1,O94953
Q9H0F5,Q8IUC3
P60709,Q96DX5
Q6IAA8,Q96L92
O75147,P02746
P53667,Q92698
Q69YN4,Q8TAP6
O14974,Q9BQB4
P14927,O14548
Q6PD62,Q8WY64
P40227,Q13216
Q15031,Q9NUJ1
Q9HBX9,Q9BVT8
Q9H0K1,Q05682
Q9P0T7,Q96AG4
P30044,Q99497
P07737,P23946
O95047,P06396
Q99426,Q8NHP8
Q13309,P49918
Q9Y6W8,Q9Y5W5
Q96PM5,Q9HCK8
Q96BQ3,Q9BW92
P14866,Q9BVP2
Q9Y277,P49821
Q13573,Q15021
Q969S3,Q13601
Q9UBL3,Q7Z3B3
P63165,Q86YT6
Q16635,P06756
O00159,Q96EV2
Q9BXW9,Q9HCD5
P04637,P20226
P09429,O75494
P41182,Q9NRR4
P12931,O00206
Q02809,O15066
Q9Y2H6,P49257
P78543,Q9UKB1
Q15293,Q15942
O60293,P52298
Q6K0P9,O15226
Q49A26,Q9NR30
Q9H2P0,P83916
Q9HBE4,Q9HBE5
P46108,O95817
P84095,Q9BXS4
Q8NF91,Q14134
Q9UBB9,Q96CN9
O94874,P52798
P42772,P29317
Q70UQ0,O95295
P10809,Q8WWA0
Q9Y2T2,P59780
O95747,Q9BRN9
O96008,P25391
Q9H4E5,O60493
P78362,P05155
P17844,O75400
Q15363,P13498
P84090,O75937
O76024,Q96I27
O75175,Q9NRA8
Q16659,Q7Z739
Q13489,P60174
Q92731,Q96F86
Q7L2J0,P34932
Q6AZY7,P16562
P51151,O14828
P55196,P49757
Q9NQB0,Q8TDD2
Q969H0,Q96GD4
P54725,P62979
Q7KZN9,O00408
O60684,O15294
Q96CS3,O43852
P56524,Q96HC4
P06576,P10809
P68104,Q16612
O75718,P02814
P03950,P25705
Q9Y285,Q9UI95
Q15759,Q99956
O94805,Q9UHA2
Q12849,Q9C002
P32969,Q86WC6
O95793,Q9H501
O75031,Q8NCN4
Q13620,P98179
P48431,Q9UL63
Q6VN20,Q15287
Q5T3I0,Q14562
Q12933,Q8WYQ4
Q9UBN7,P55060
P61964,P49116
Q5T1C6,P56856
Q04844,Q8IWB1
P23352,Q9HBE1
O43663,P49792
O15392,Q86XJ1
P47755,Q12965
Q08170,P49759
P40426,Q9BW91
Q13107,Q12934
P04843,Q99758
Q9Y586,Q16352
Q0ZGT2,Q96GC9
P31947,Q9UNZ2
Q8TCF1,P43686
P16104,Q99504
Q15029,O75323
Q92997,Q9HC77
P15692,P05549
P16157,Q92565
Q96EP0,P09234
P35221,P63279
P84098,Q9NWU5
O14980,P80303
P62888,P62847
Q15303,P04075
Q9UHQ9,P39210
P62491,Q9H4G0
P17676,P19419
Q9H0M0,P62487
P00338,Q9Y570
Q92731,Q9Y4D1
Q01344,P32927
O00213,Q12766
Q99615,P52948
Q08379,Q96T21
Q9Y277,Q56VL3
P27695,Q6MZQ0
O14735,Q8TBB1
P40121,O75037
Q8N8A2,Q9NYP3
Q9H267,Q8TDN4
Q16827,O94766
O96013,Q9UKD2
P18077,P35269
P19438,P78536
P16885,P04629
P60484,P52701
O14770,P78424
Q9UMR2,O43310
Q9UNF0,Q9Y6H1
Q9C0B5,Q9UKS6
P85298,Q12982
P27487,Q8TDD1
P15927,Q13616
Q9BRR0,Q96JS3
P46783,P04908
O00468,P45378
Q9UBK9,Q9NWX5
P27701,Q96EP0
P35052,P15692
P10599,Q9H8T0
O60341,Q9H270
Q7L2J0,Q08170
P68104,Q07020
O95376,Q9BWX1
P18206,Q86UD0
P15153,Q9P0K1
O75841,Q07108
Q9H2F3,Q9Y2W6
P78310,Q9P0N5
P58012,P13056
Q9H0W5,P41252
Q5TAQ9,Q9NR22
O00303,Q04637
P14618,Q504Q3
Q8WWY3,O75554
Q9H0U3,Q92542
O60462,P49763
Q12797,Q96S52
Q14289,P23458
P10398,Q13049
P04629,Q9NTZ6
P08559,P09669
Q13136,Q8N144
P42166,Q96RQ1
P01730,P42566
P50222,Q5JT25
P19784,O75386
Q86UE8,Q5VX52
Q4U2R6,Q9NVS2
O14593,Q9NWZ5
P06396,Q9HBD1
P62877,Q9H6U6
Q92731,Q9Y3R5
Q8TF76,Q07954
P55084,P22695
P16104,Q96EY7
O43159,Q14146
Q9UPP1,Q3SYF9
Q8TAG9,P32119
P52597,Q12834
P25942,Q14746
Q96LL4,Q15834
P62899,Q96SB4
P49137,Q6ZSC3
Q96AJ1,Q9HDC5
Q15843,Q96I15
Q5S007,P42025
Q9UMX5,Q9BSH5
Q7Z699,Q8IUI8
P63220,P05387
Q96A25,Q30201
P35226,Q16630
Q5S007,A8MW92
P63173,P29558
P53007,Q8N488
Q13247,Q9H5H4
Q96ES7,Q99081
Q7Z3K3,P25440
P82664,Q9NWT8
P35580,O60522
Q8TCJ0,O60285
Q9NZR1,O96002
Q15118,P18859
Q9Y297,Q96G27
Q12797,Q9UBX5
Q5TA78,Q9BYQ6
Q9NQH7,O75503
P29966,Q9UNH7
P16070,P61221
Q92934,Q16548
Q8N488,P35637
P27824,Q96AG4
Q13573,Q96RE7
O43561,Q16378
O75298,Q9UNG2
P43155,P47985
Q96B97,Q8NEM2
Q13618,Q9NQH7
Q9H0R8,P04908
Q96BD6,O00291
Q5T0W9,Q12846
Q7Z589,P35658
P24666,Q9UNI6
Q00839,Q9UPT5
Q7L0Q8,P16422
Q8TAF3,Q6VAB6
O00231,P54257
Q7L2Z9,P26022
Q13557,Q5FWF4
P78362,P46013
Q92905,Q8WXX5
Q6DN90,Q86UY5
O75379,Q8N1B4
P08621,O43447
Q9ULV1,Q12959
Q12873,P78347
P02545,P25490
Q16576,O43684
Q15291,Q6ZW49
Q9Y2T2,Q92572
Q15910,Q09028
Q9BYD1,Q9NRX2
Q96QC0,Q68D10
P08195,O15155
Q9UIR0,Q02083
Q9H7H0,P83105
O94905,P27105
P18621,O60258
Q9UQV4,Q7L804
P12277,O00418
Q9Y265,Q9BZV1
Q12800,P20700
Q9BWG6,P58557
P21854,Q96BA8
P01116,O95819
Q96PT4,Q5JS54
O43765,P46695
P20290,Q9UG63
P06396,P62701
P42766,P11940
P15311,Q9H2J7
Q99459,O96028
P43355,P46531
P30519,Q96D09
P54253,Q06547
O95232,Q9C0B0
O43639,P49639
P40939,Q96E11
P08779,Q9Y4E8
P11142,Q5T1M5
Q9BSK4,P09110
O00217,Q9UI95
P59991,Q8WTX9
P0CG47,Q9UHD2
P32970,Q9NWZ5
Q02241,P07947
P36894,Q6P995
Q96DZ9,Q96J77
Q8NHQ9,Q9H9Z2
Q9Y6C9,Q08378
Q53TN4,Q13336
O60333,P34741
Q9Y6R4,Q99523
P09467,P61978
Q8TDN4,Q9ULU8
P62805,Q9NZ01
P62191,Q16186
Q14973,Q6ICL7
Q9H8V3,P17096
Q8TEW6,Q12955
Q5TKA1,Q08050
P17302,Q9NP61
P22314,Q8WUN7
P62266,P32969
P31947,P00374
P35222,P62249
Q9Y297,Q00839
P04040,O00116
Q8TCT9,Q9NX76
P62424,P08243
Q6NTF9,Q2NL82
Q12968,Q9ULJ6
Q9H2K2,O60239
O43663,Q9Y543
Q99816,Q8IV63
P04264,P10398
Q13596,P48357
O14980,Q13428
Q13794,P30046
P43403,Q71U36
Q9GZP4,Q8N0W7
P60520,O95757
Q7Z7G2,Q6UXB4
Q9H4M7,Q9BY77
Q9UJW0,Q9H1M4
Q8NFZ5,Q15003
O94842,A8K2U0
Q14451,P62879
Q16650,Q969P5
P63000,P18031
O75925,Q99581
O14578,Q96T60
Q8IVT5,O43252
Q71UI9,Q9Y5Y2
Q9C0E8,Q92633
O43482,O43739
Q7Z2W4,Q9Y3D6
P18077,O95793
P53779,O43264
P56180,Q9NWS0
O00501,Q9Y548
Q8WYP3,P20339
Q7KZI7,Q9H159
P16885,O14986
P63104,Q96IY1
Q9Y297,P18848
P63165,Q8NAV1
P62913,O00233
P26641,O15205
Q13263,Q14765
P05067,Q9NRZ9
Q6PF18,O15371
P12235,P25705
Q14258,Q96PU5
O14981,P21453
P10636,Q6XE24
Q9Y6Y8,O94979
P31943,Q6IAA8
P46736,P51587
P17081,Q00610
Q9BZV1,Q86XL3
P27695,Q92599
Q9NY47,Q86Y30
Q8IVD9,Q6JEL2
Q9Y6Y0,Q7Z2W4
Q5T5X7,Q9UK80
Q13489,Q92620
Q13330,Q9P2Y4
Q9HC52,Q63ZY3
Q14790,Q9UKQ9
Q9Y575,O75449
P00533,P04049
P28347,Q8IU81
Q93034,P62857
Q16777,Q93009
Q9UGI0,Q8WWM7
Q86VY9,P60033
O75489,Q9UH62
Q14258,Q9UKM9
P42858,P62256
Q9H3U1,Q6UY01
Q14258,Q96I15
O75575,P19388
O95644,Q13951
P52272,Q13573
Q6PK04,O00479
Q9NTX5,Q8N7P1
Q9Y490,Q2M1Z3
Q9BXS5,Q9Y5E6
P40424,Q6STE5
Q92625,Q70EL1
Q99996,Q9BTA9
P35240,O14745
P12004,P07355
Q9NWU5,Q9NYK5
Q96E93,Q8N205
Q13077,Q96IZ5
Q15047,P53597
Q9BTE1,Q5TBK1
P31946,Q9H6Z9
Q8N6T7,Q9BTA9
Q16512,P02686
Q9Y228,Q9BTA9
Q13489,P28066
Q3L8U1,Q15059
Q6P1J9,P34932
P62879,Q9NT62
P48426,Q86XP3
P46013,Q9NV31
P33947,O95718
P00519,Q9UM47
P52594,Q9Y3C4
Q14103,Q9UI26
Q86SE9,Q8IXK0
Q99497,Q9Y2W2
O43639,P18433
Q5S007,Q04695
P13569,Q9P2R7
Q5S007,P62854
P33764,Q9UBM1
Q92804,Q92831
P78352,Q14332
O43586,Q9BVP2
Q9BQE3,Q96S59
P01106,Q9NWU5
Q9BX68,Q9BYD6
Q8TAT6,Q9BZE9
Q92558,Q3ZCQ8
P23258,Q9UGI0
Q92526,P53677
P51957,Q9HDC5
Q9Y618,Q9BQI5
P0DPH7,P41279
Q01780,P04180
Q9BXM7,P10909
P03372,Q13148
O94992,P51784
Q99608,Q13283
O43707,Q8IY33
Q14011,Q9BS40
P25024,P19876
Q04864,Q92793
Q86UR1,Q3KP44
P84095,Q03468
O15027,Q8TDX7
O43663,P60323
P60953,Q8N5V2
Q8IVS2,O75616
P00748,Q6P087
P62136,Q15834
Q16820,P01303
Q6RFH5,Q96PZ0
Q9BSH4,Q92947
O14964,P25054
P51654,Q86VH5
Q8NBZ0,Q6PI98
O95793,P62269
Q96A46,Q9NRM0
P35222,P37231
Q969Q5,P78386
Q9UMX0,P34903
Q8IY95,P01589
Q9ULV8,Q93052
Q14145,Q96D09
Q99460,P09496
Q69YN4,A2RRP1
Q86UY6,Q08AD1
Q15643,Q8NH79
Q8N6Y1,A2VCK2
O43353,P98170
P53667,P49407
Q8TEA7,Q16777
O75400,O60664
P05412,Q00059
P62851,Q92901
Q00839,Q9Y3U8
Q08211,Q9UKM9
P06241,P32119
Q9Y573,Q53HC5
P48444,Q99497
P05386,P62241
Q8N386,Q8NCG7
Q96CF2,Q96SI9
A5YKK6,P48634
P42338,Q05193
Q14151,Q99549
Q04864,P07437
O60245,P01375
Q9UMR2,Q9UKG9
Q8NDV7,Q9UHB7
Q13573,Q9H307
Q9P0L0,Q8NC06
P04637,O76094
P19022,P55283
P18085,O94972
P63104,P29074
P27348,Q16543
Q99442,Q8WY07
P35236,O60313
P24928,Q9BYW2
Q9UKX7,P20700
O00217,Q9H2A9
O95218,Q16864
Q03518,P17693
O75688,Q8N0Y7
Q9BYC9,Q96DP5
Q9HBH0,P40429
Q9H2J7,O60488
O60645,Q9BZL4
P38432,P62753
P82979,Q96FV9
P63096,P51810
P05412,P48444
Q14498,P13639
P02545,Q9Y2W1
P04843,Q9Y4W6
Q13547,Q15459
Q5J8M3,Q9UHF0
Q9NRM7,P10276
P98082,P84022
P57678,Q9NZD8
P10071,Q6ZMZ3
Q9UPY8,Q9HAU0
Q9BYF1,O60307
O94888,O75312
Q9UBU9,Q9BT78
P04217,Q13505
P29558,Q9H694
P98179,Q9NZB2
Q96CE8,Q9UJ14
Q86TX2,P49773
Q5JR59,Q9H6X5
Q15058,Q08379
Q96JJ7,O00408
Q15029,O60343
Q9C0B5,Q9NSY1
P24941,P13535
O00231,O00506
P03372,Q8WXI9
O00167,Q969N2
Q13405,Q14197
Q86SQ0,O14777
Q9NWD8,O95214
P29692,P23508
Q9HBD1,Q7Z2T5
P55795,Q8IYB8
Q14192,Q9H6Z9
P35613,Q13535
P60468,Q14696
P48023,Q9UKN7
O95678,Q2M2I5
P61224,P12956
P51648,Q96RQ1
Q53H82,Q16774
Q8IWL3,P48507
Q93009,Q5VIR6
Q8IWL3,Q99538
O95235,P02545
P36542,Q14CB8
P43364,Q2M243
P55000,P15848
P07384,P78417
Q13761,P29590
Q8NBF2,O95239
Q15646,Q9Y3C1
P01112,Q15392
Q15750,Q13075
Q7Z699,Q9UBQ6
P17302,Q9Y6H8
O95793,Q14692
Q6DN90,Q99767
Q6P2Q9,Q96C86
Q8NBI5,Q9Y3S1
P05412,P28347
P24941,Q9NR30
Q13616,Q9NX40
P52566,P61960
P46734,O60271
P61073,P52569
Q01860,P62899
P60520,P62081
Q5XPI4,P0C7T5
P30084,O14880
Q9HCU9,Q9HCE5
Q86TS9,Q96EH3
Q8N0Z3,Q9HC35
Q5JUK2,Q96RY7
P37231,Q92831
P63279,Q6B0B8
Q13948,P14770
P61313,P04629
Q69YN4,Q9NS87
P45984,Q14934
Q9UKX7,O94829
Q8TBB0,Q0VD86
O14786,P13804
P55196,Q99442
P06748,P56182
P00533,O15357
P78317,Q9BWF2
P35226,Q7Z449
P16220,Q9H467
P26022,P55075
Q96L33,Q9Y5S2
P06576,Q14999
Q93009,Q5VTB9
P31943,O43237
P21127,Q92800
P27348,Q9NZT1
P29475,P56539
Q9Y3S2,P0C7X2
P02768,Q04118
Q9Y3B7,A1L4K1
Q13127,P19338
P61964,P25490
O00571,Q7Z794
P10809,Q8WWR8
P08670,Q8IVM0
O95218,O15446
P28340,Q13535
P46783,Q9NWS0
Q8TCJ0,Q969P5
Q9UBS4,Q7L3T8
Q6IAA8,O96013
P15311,P13569
Q9GZQ8,P62857
Q12834,Q4G163
Q7Z6R9,Q3LHN2
P99999,Q9H0G5
Q4VCS5,P08727
Q9NPI1,Q9Y3I0
P19367,Q9GZZ9
O00148,Q9GZZ9
P63165,P10253
Q96GD4,P24844
P01040,Q9UBX1
Q9NS91,Q9P258
P23246,O14978
P62306,Q13283
O75964,O14828
Q9H444,P62304
Q15029,Q9Y5U2
P21281,O95169
P02765,Q7RTN6
Q96S53,Q5VZ89
P11217,Q9Y657
Q03135,O95835
Q9HBX9,B0FP48
Q9Y616,Q99437
Q9NYB0,Q6ZVK8
P16104,P62424
O95047,P05120
Q6P4R8,Q96NL1
O95994,P34897
Q9NQC3,Q9H015
Q96DZ9,Q05329
O75909,O14777
P43005,Q96SK2
P19838,Q16352
O95863,Q86TI2
Q9UQL6,Q12931
Q86UK7,Q6UWP8
O00238,P48454
P28799,Q16611
Q96FW1,Q96EA4
Q15831,O75820
Q15022,O43290
P53985,P35610
Q13635,P17980
Q15058,Q8NEV8
P05412,O95644
P78536,Q9BY71
Q9UNP9,Q9BZJ0
Q9Y5X4,Q00978
P56945,Q8N9F7
Q8NFB2,Q00765
P14854,Q9NRK6
O60885,Q9BWF3
O15198,P51825
P62701,Q9UL18
P55201,Q8N987
Q6P587,P08236
P27695,Q96BU1
O95985,Q96DI7
P25788,Q15084
Q14671,Q96AK3
Q8NEW0,O75694
P17612,P13807
P55081,O43491
P51116,Q04637
O00182,Q9Y6I9
P04792,O75925
P03372,Q3L8U1
Q92797,Q9H4L7
P0CG47,P0C5J1
Q9NNX1,Q6NSJ2
P51531,Q92925
Q9H015,Q7Z7B1
P10721,Q9NSE2
Q02539,O95503
P19404,Q15006
P51686,O43927
P0CG47,O76064
Q9BWG6,Q5VU43
Q9P2E8,Q9Y394
P82675,Q96BP2
P21673,Q00587
O00628,P61758
Q9UJW2,P01222
Q3ZCM7,P09093
P61619,Q9Y4W6
Q12905,O75147
Q9NRC8,Q9NNW5
Q504Q3,P84103
Q15717,Q9BTX7
Q96TA2,P00403
Q92731,Q9HCK8
P20645,Q96F15
Q9Y5Q3,Q9Y2R5
Q9BQ95,Q9H0A6
P31749,P50990
Q9Y490,Q99704
Q04206,O00255
P63000,P35240
Q92805,Q1MSJ5
P0C7Q2,Q8TDZ2
O95757,Q9Y478
Q8WUM4,Q9Y5J5
P51784,Q92598
Q9UHD9,Q12864
O75925,P18031
P48061,O15444
P30086,O15164
P14373,Q96IQ9
P06753,Q16719
Q9H4M7,Q05086
Q9NTI5,Q9UPV0
Q9UKV8,Q14103
P17987,Q86VZ2
P25098,Q71UM5
P04626,Q9BRG2
Q6ZU65,P22528
Q9UPN9,Q53H96
O14964,Q3LI72
Q99569,Q5T5U3
Q9UBS0,P31689
Q96LA8,Q9H6K4
O60885,Q9BYG3
Q1KMD3,Q9UKB1
Q8TAE8,P61927
O75955,Q9Y6M7
O15530,Q8NEB9
Q4G0J3,Q01105
P26045,Q12756
Q6UB35,P51003
P61221,O00429
P62068,Q6ZVD8
Q15058,Q9P0M6
Q9Y230,P78527
Q96PE5,Q13315
Q96S66,Q5GAN3
Q68DC2,Q92843
Q9Y3B7,Q9BYD3
Q9H4H8,Q9Y4X5
P35080,P62304
Q92845,P68871
O95816,Q9H992
Q9NRC8,Q9NZB2
O94985,Q93086
Q02878,P16402
Q99623,P08574
P19388,O15160
Q15365,Q9UNP9
Q99962,Q2QGD7
P40763,Q9NP31
P50402,Q9UBF2
Q13503,Q9BUE0
Q92731,Q9H4I2
O95817,A4UGR9
Q9BY84,Q96JI7
O00165,O43464
Q9Y250,Q13432
Q15717,Q9H4A6
Q92900,P06730
Q8WWF1,P50548
Q9ULZ3,P29590
O14737,P13686
P68431,Q29RF7
Q03135,P11586
Q8WUK0,P55060
P82914,O60729
P60953,Q8TB61
Q9BU76,P12830
Q92611,Q9Y679
O60610,P61923
Q9UMX0,Q04323
Q15029,P23396
P18669,P15056
P21709,Q15386
Q68CJ9,O15554
P14854,O14521
Q13200,Q16186
Q15008,P35558
P68036,Q9UK22
P62877,O43918
A5YKK6,Q9UPT9
Q13573,Q8NE71
P28347,P17482
A8MZ59,O75355
O96017,Q92560
Q9H7F0,Q8WY22
Q14186,Q9H0A8
Q6GYQ0,Q9NXC2
Q9BVS4,P05388
P84022,P06737
Q8WWF1,Q99988
Q14254,O95661
Q07890,P54886
Q01628,P27797
O43759,Q9Y282
Q9H7H0,Q16740
P08670,Q9NS87
P04843,O94844
Q9NZT1,Q86UE8
Q8IYY4,Q8WUT4
P02766,Q7Z5J4
Q14498,Q8IXT5
P35221,O14907
Q02878,Q9Y6Y0
Q9NQT8,Q6P597
O00220,Q9P032
Q15942,P49407
Q9NZJ4,Q6UWR7
Q02252,O75127
P56524,Q9Y6X9
O43583,P37837
